,censusTract,Year,City,CommunityName,Detailed_Name,SPA,SD,CD,SSD,AD,DemogSurveySample,YouthCountSample,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totYouthIndiv,totYouthUnaccKid,totYouthFamHH,totYouthFamMemb,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople,ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
2534,503502,2016,South Whittier,South Whittier,South Whittier,7,4,0,32,57,No,No,0,0,0,0,0,3,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,90604.0,6.0,37.0,503502.0,6037503502.0,4130.0,1273.0,1244433.0,1244433.0,39407.0,12326.0,11047533.0,11036745.0,4130.0,1273.0,1244433.0,1244433.0,10.48,10.33,11.26,11.28,100.0,100.0,100.0,100.0
2535,920326,2016,Stevenson Ranch,Stevenson Ranch,Stevenson Ranch,2,5,0,27,38,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91321.0,6.0,37.0,920326.0,6037920326.0,17.0,6.0,2980555.0,2980555.0,34882.0,11892.0,67096531.0,67031333.0,6840.0,2612.0,68228656.0,68225021.0,0.05,0.05,4.44,4.45,0.25,0.23,4.37,4.37
2536,920326,2016,Stevenson Ranch,Stevenson Ranch,Stevenson Ranch,2,5,0,27,38,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91381.0,6.0,37.0,920326.0,6037920326.0,6823.0,2606.0,65248101.0,65244466.0,20158.0,6848.0,97560026.0,97468870.0,6840.0,2612.0,68228656.0,68225021.0,33.85,38.05,66.88,66.94,99.75,99.77,95.63,95.63
2537,920338,2016,Stevenson Ranch,Stevenson Ranch,Stevenson Ranch,2,5,0,27,38,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91381.0,6.0,37.0,920338.0,6037920338.0,5721.0,1732.0,3715463.0,3715463.0,20158.0,6848.0,97560026.0,97468870.0,5721.0,1732.0,3715463.0,3715463.0,28.38,25.29,3.81,3.81,100.0,100.0,100.0,100.0
2538,920339,2016,Stevenson Ranch,Stevenson Ranch,Stevenson Ranch,2,5,0,27,38,No,No,1,0,0,0,0,3,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,91355.0,6.0,37.0,920339.0,6037920339.0,129.0,69.0,5368786.0,5227486.0,32605.0,13322.0,40487220.0,40079320.0,7377.0,2436.0,33964242.0,33735421.0,0.4,0.52,13.26,13.04,1.75,2.83,15.81,15.5
2539,920339,2016,Stevenson Ranch,Stevenson Ranch,Stevenson Ranch,2,5,0,27,38,No,No,1,0,0,0,0,3,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,91381.0,6.0,37.0,920339.0,6037920339.0,7248.0,2367.0,28595456.0,28507935.0,20158.0,6848.0,97560026.0,97468870.0,7377.0,2436.0,33964242.0,33735421.0,35.96,34.56,29.31,29.25,98.25,97.17,84.19,84.5
2540,143200,2016,Los Angeles,Studio City,Studio City NC,2,3,2,18,46,No,No,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,91602.0,6.0,37.0,143200.0,6037143200.0,3606.0,2071.0,912914.0,912914.0,17473.0,9946.0,5370807.0,5302419.0,3743.0,2141.0,957092.0,957092.0,20.64,20.82,17.0,17.22,96.34,96.73,95.38,95.38
2541,143200,2016,Los Angeles,Studio City,Studio City NC,2,3,2,18,46,No,No,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,91604.0,6.0,37.0,143200.0,6037143200.0,137.0,70.0,44178.0,44178.0,29034.0,15373.0,13534045.0,13343410.0,3743.0,2141.0,957092.0,957092.0,0.47,0.46,0.33,0.33,3.66,3.27,4.62,4.62
2542,143300,2016,Los Angeles,Studio City,Studio City NC,2,3,2,18,46,No,No,2,0,0,0,0,1,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,91602.0,6.0,37.0,143300.0,6037143300.0,2094.0,1095.0,739536.0,739536.0,17473.0,9946.0,5370807.0,5302419.0,5871.0,3128.0,1654849.0,1649230.0,11.98,11.01,13.77,13.95,35.67,35.01,44.69,44.84
2543,143300,2016,Los Angeles,Studio City,Studio City NC,2,3,2,18,46,No,No,2,0,0,0,0,1,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,91604.0,6.0,37.0,143300.0,6037143300.0,1352.0,724.0,303363.0,303363.0,29034.0,15373.0,13534045.0,13343410.0,5871.0,3128.0,1654849.0,1649230.0,4.66,4.71,2.24,2.27,23.03,23.15,18.33,18.39
